entity_id,reldesc,reltype,relatedEntityId
226051,NULL,Ownership,226068
226051,NULL,Ownership,226069
226051,NULL,Ownership,226070
226419,"Member firm",Membership,226393
226423,"Member firm",Membership,226393
232163,"Campaign Support for Leadsom as Conservative Leader",Generic,52975
232866,"predecessor firm",Hierarchy,15802
233834,Investee,Transaction,20
233834,Investee,Transaction,142184
233834,Investee,Transaction,81410
233834,Investee,Transaction,82070
233834,Investee,Transaction,40946
233834,Investee,Transaction,8787
233834,Investee,Transaction,1343
233834,Investee,Transaction,70348
233834,Investee,Transaction,119246
246659,NULL,Donation,246654
252998,investor,Ownership,82814
252998,owner,Ownership,14934
30,Director,Position,1074
30,Director,Position,1536
30,Director,Position,1537
30,Director,Position,1538
30,Director,Position,1539
30,Director,Position,1540
30,Chairman,Position,1540
30,CEO,Position,1540
30,"Executive Vice President",Position,1541
30,"General Counsel",Position,1541
30,Director,Position,1542
30,"Executive Vice President",Position,1543
30,"Executive Vice President",Position,1544
30,"Chief Financial Officer",Position,1544
30,President,Position,1545
30,Director,Position,1546
30,Director,Position,1547
30,Director,Position,1548
30,Director,Position,1549
30,"Executive Vice President",Position,1550
30,SVP,Position,1551
30,CFO,Position,1551
30,Director,Position,1552
30,Director,Position,1553
30,Lobbyist,Position,18528
30,Lobbyist,Position,18529
30,Lobbyist,Position,18530
30,Lobbyist,Position,18531
30,Lobbyist,Position,18532
30,Lobbyist,Position,18533
30,Lobbyist,Position,21558
30,Lobbyist,Position,18535
30,Lobbyist,Position,18536
30,Analyst,Position,37227
30,"Employee, investment banking division",Position,2420
30,Banker,Position,39743
30,"Chief Financial Officer",Position,39874
30,Treasurer,Position,39874
30,"Chief Credit Officer",Position,39874
30,Employee,Position,40200
30,"Head of Corporate Acquisitions Strategy & Research",Position,1370
30,"President of Global Private Client",Position,1370
30,NULL,Position,35093
30,NULL,Position,43125
30,CEO,Position,1191
30,COO,Position,1545
30,"Exec. VP",Position,1545
30,"Head of the Asset Management Division",Position,5073
30,"Managing Director, Global Securities Research and Economics",Position,43806
30,CEO,Position,43831
30,"Founder, Merrill Lynch Derivative Products",Position,45662
30,"Managing Director",Position,46109
30,"Managing Director",Position,46225
30,Chairman,Position,1193
30,NULL,Position,13703
30,NULL,Position,48200
30,"Managing Director",Position,46788
30,"Head, European Credit",Position,50890
30,NULL,Position,50940
30,"Financial Advisor",Position,51119
30,Director,Position,51366
30,"Exec. VP",Position,52211
30,Director,Position,52211
30,"Industry Specialist",Position,52214
30,NULL,Position,29398
30,"Vice Chairman",Position,33370
30,"Analyst, Global Investment Banking",Position,59380
30,Analyst,Position,59384
30,Analyst,Position,59376
30,"Chief Accounting Officer",Position,59784
30,"Executive Vice President",Position,59618
30,"Executive Vice President",Position,59785
30,CAO,Position,59785
30,"Vice President",Position,59786
30,"managing director",Position,66639
30,"Managing director",Position,67279
30,"President, COO & Board Member",Position,34821
30,NULL,Position,2602
30,NULL,Position,51461
30,"Managing Director",Position,72476
30,"global co-head of healthcare investment banking",Position,72688
30,NULL,Position,72692
30,"VP of Fundamental Equity Research Analyst",Position,73831
30,"Vice Chairman",Position,74127
30,"managing director",Position,78236
30,"Senior Vice President",Position,62703
30,"Associate, Corporate Finance",Position,82922
30,"Director of global emerging markets debt trading division",Position,85089
30,"Vice President",Position,85383
30,"Managing Director",Position,85489
30,"Portfolio Manager",Position,85506
30,NULL,Position,85529
30,"Vice Chairman",Position,1240
30,"Vice Chairman",Position,86277
30,NULL,Position,41497
30,NULL,Position,83344
30,NULL,Position,89057
30,"Vice President, Head of Institutional Convertible Securities",Position,86358
30,Banker,Position,74898
30,"Financial Planning & Account Management Executive",Position,83237
30,NULL,Position,70567
30,advisor,Transaction,19171
30,NULL,Position,104827
30,NULL,Position,47478
30,"Director, Mergers & Acquisitions",Position,117172
30,NULL,Position,117759
30,"Managing Director and General Counsel for Global Origination and Private Equity",Position,118924
30,"Managing Director and the Head of Global Regulatory Affairs",Position,113480
30,"Director of a number of mutual funds",Position,60042
30,"Senior Vice President and Managing Director",Position,128932
30,Lobbyist,Transaction,17894
30,"Chief Technology Officer ",Position,129635
30,VP,Position,129661
30,"Senior Client Manager",Position,136271
